Kategoria;Producent;Nr_katalogowy;Nazwa;Jednostka;Cena_Katalogowa;Waluta;Grupa_Rabatowa;Zrodlo_ceny
PLC;Siemens;6ES7512-1DM03-0AB0;CPU 1512SP-1 PN;szt.;4141.9;PLN;SIEMENS;
PLC;Siemens;6GK7542-6UX00-0XE0;Moduł Ethernet CP;szt.;1831.83;PLN;SIEMENS;
PLC;Siemens;6ES7137-6AA01-0BA0;Moduł komunikacji szeregowej;szt.;1046.15;PLN;SIEMENS;
PLC;Siemens;6ES7131-6BH01-0BA0;Moduł wejść binarnych 16x DI 24V DC;szt.;307.44;PLN;SIEMENS;
PLC;Siemens;6ES7132-6BH01-0BA0;Moduł wyjść binarnych 16x DO 24V DC;szt.;362.95;PLN;SIEMENS;
PLC;Siemens;6ES7134-6HD01-0BA1;Moduł wejść analogowych 4x AI;szt.;636.23;PLN;SIEMENS;
PLC;Siemens;6ES7135-6HD00-0BA1;Moduł wyjść analogowych 4x AO;szt.;815.57;PLN;SIEMENS;
PLC;Siemens;6ES7193-6AR00-0AA0;Bus Adapter 2x RJ45;szt.;204.96;PLN;SIEMENS;
PLC;Siemens;6ES7954-8LE03-0AA0;Karta pamięci SD 12MB;szt.;772.87;PLN;SIEMENS;
PLC;Siemens;6ES7193-6BP00-0DA0;Podstawka BaseUnit (jasna, z zasilaniem);szt.;89.67;PLN;SIEMENS;
PLC;Siemens;6ES7193-6BP20-0BA0;Podstawka BaseUnit (ciemna, mostkująca);szt.;72.59;PLN;SIEMENS;
PLC;Beckhoff;CX9020-0115;Embedded PC Beckhoff (CPU);szt.;3992.45;PLN;BECKHOFF;
PLC;Beckhoff;EL6070-0033;Klucz licencyjny TwinCAT;szt.;488.8;PLN;BECKHOFF;
PLC;Beckhoff;EL6021;Interfejs szeregowy RS422/485;szt.;1541.47;PLN;BECKHOFF;
PLC;Beckhoff;EL1008;8x wejście cyfrowe 24V DC;szt.;307.44;PLN;BECKHOFF;DO POTWIERDZENIA: były 2 różne ceny (307.44 / 384.30) - przyjęto niższą tymczasowo
PLC;Beckhoff;EL2008;8x wyjście cyfrowe 24V DC 0.5A;szt.;290.36;PLN;BECKHOFF;
PLC;Beckhoff;EL3058;8x wejście analogowe 0/4-20mA;szt.;841.19;PLN;BECKHOFF;
PLC;Beckhoff;EL4024;4x wyjście analogowe 4-20mA;szt.;2199.05;PLN;BECKHOFF;
PLC;Beckhoff;EL9410;Zasilacz E-bus (odświeżenie magistrali);szt.;529.48;PLN;BECKHOFF;
PLC;Beckhoff;EL9011;Pokrywa końcowa magistrali E-bus;szt.;85.4;PLN;BECKHOFF;
PLC;Beckhoff;CX7000;Sterownik kompaktowy Beckhoff;szt.;3864.35;PLN;BECKHOFF;
PLC;Beckhoff;EL2008;8x wyjście cyfrowe 24V DC 0.5A;szt.;290.36;PLN;BECKHOFF;
PLC;Beckhoff;EL3054;4x wejście analogowe 4-20mA;szt.;1545.74;PLN;BECKHOFF;
PLC;Beckhoff;EL4024;4x wyjście analogowe 4-20mA;szt.;2199.05;PLN;BECKHOFF;
PLC;Beckhoff;EL9011;Pokrywa końcowa magistrali E-bus;szt.;85.4;PLN;BECKHOFF;
APARATURA;Phoenix Contact;PT 2,5;Złączka szynowa 2,5mm2;szt.;2;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 2,5-PE;Złączka szynowa ochronna PE 2,5mm2;szt.;11;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 2,5 BU;Złączka szynowa niebieska (N) 2,5mm2;szt.;4;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 4;Złączka szynowa 4mm2;szt.;4;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 4-HESI (5X20);Złączka bezpiecznikowa 4mm2;szt.;21;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 10;Złączka szynowa 10mm2;szt.;10;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 10-PE;Złączka szynowa ochronna PE 10mm2;szt.;23;PLN;APARATURA;
APARATURA;Phoenix Contact;RIF-1-RPT-LDP-24DC/2X21MS;Przekaźnik interfejsowy 24V DC;szt.;60.9;PLN;APARATURA;
APARATURA;Mean Well;NDR-240-24;Zasilacz 24V DC 10A;szt.;220;PLN;APARATURA;
APARATURA;Mean Well;NDR-120-24;Zasilacz 24V DC 5A;szt.;115;PLN;APARATURA;
APARATURA;Mean Well;DR-RDN20;Moduł redundancji zasilania;szt.;256;PLN;APARATURA;
APARATURA;Rittal;SE 5832.600;Obudowa szafy sterowniczej;szt.;4900;PLN;APARATURA;
KABLE;Bitner;BiT 750®H 4x1;Kabel sterowniczy 4x1mm2;m;5;PLN;KABLE;
KABLE;Bitner;BiT 750®H 3G1,5;Kabel sterowniczy 3G1,5mm2;m;6;PLN;KABLE;
KABLE;Bitner;BiT 750®CH 2x1;Kabel ekranowany 2x1mm2 (analogi);m;7;PLN;KABLE;
KABLE;Bitner;BiTservo®3plus 2XSLCH-J 3G2,5+3G1,5;Kabel silnikowy do falownika;m;;PLN;KABLE;
KABLE;Lapp;ETHERLINE LAN Cat.7 S/FTP;Kabel sieciowy Cat.7;m;9;PLN;KABLE;
SCADA;ASKOM;ASIX-WA128W+1R PM;Stacja operatorska, limit 128 zm.;szt.;4350;PLN;ASIX;Cennik ASIX 03/2026
SCADA;ASKOM;ASIX-WA256W+1R PM;Stacja operatorska, limit 256 zm.;szt.;6010;PLN;ASIX;Cennik ASIX 03/2026
SCADA;ASKOM;ASIX-WA512W+1R PM;Stacja operatorska, limit 512 zm.;szt.;9470;PLN;ASIX;Cennik ASIX 03/2026
SCADA;ASKOM;ASIX-WA1024W+1R PM;Stacja operatorska, limit 1024 zm.;szt.;11780;PLN;ASIX;Cennik ASIX 03/2026
SCADA;ASKOM;ASIX-WA4096W+1R PM;Stacja operatorska, limit 4096 zm.;szt.;14380;PLN;ASIX;Cennik ASIX 03/2026
SCADA;ASKOM;ASIX-WA8192W+1R PM;Stacja operatorska, limit 8192 zm.;szt.;16770;PLN;ASIX;Cennik ASIX 03/2026
