Kategoria;Producent;Nr_katalogowy;Nazwa;Jednostka;Cena_Katalogowa;Waluta;Grupa_Rabatowa;Zrodlo_ceny
PLC;Siemens;6ES7512-1DM03-0AB0;CPU 1512SP-1 PN;szt.;;PLN;SIEMENS;
PLC;Siemens;6GK7542-6UX00-0XE0;Moduł Ethernet CP;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7137-6AA01-0BA0;Moduł komunikacji szeregowej;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7131-6BH01-0BA0;Moduł wejść binarnych 16x DI 24V DC;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7132-6BH01-0BA0;Moduł wyjść binarnych 16x DO 24V DC;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7134-6HD01-0BA1;Moduł wejść analogowych 4x AI;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7135-6HD00-0BA1;Moduł wyjść analogowych 4x AO;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7193-6AR00-0AA0;Bus Adapter 2x RJ45;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7954-8LE03-0AA0;Karta pamięci SD 12MB;szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7193-6BP00-0DA0;Podstawka BaseUnit (jasna, z zasilaniem);szt.;;PLN;SIEMENS;
PLC;Siemens;6ES7193-6BP20-0BA0;Podstawka BaseUnit (ciemna, mostkująca);szt.;;PLN;SIEMENS;
PLC;Beckhoff;CX9020-0115;Embedded PC Beckhoff (CPU);szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL6070-0033;Klucz licencyjny TwinCAT;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL6021;Interfejs szeregowy RS422/485;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL1008;8x wejście cyfrowe 24V DC;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL2008;8x wyjście cyfrowe 24V DC 0.5A;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL3058;8x wejście analogowe 0/4-20mA;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL4024;4x wyjście analogowe 4-20mA;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL9410;Zasilacz E-bus (odświeżenie magistrali);szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL9011;Pokrywa końcowa magistrali E-bus;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;CX7000;Sterownik kompaktowy Beckhoff;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL1008;8x wejście cyfrowe 24V DC;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL2008;8x wyjście cyfrowe 24V DC 0.5A;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL3054;4x wejście analogowe 4-20mA;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL4024;4x wyjście analogowe 4-20mA;szt.;;PLN;BECKHOFF;
PLC;Beckhoff;EL9011;Pokrywa końcowa magistrali E-bus;szt.;;PLN;BECKHOFF;
APARATURA;Phoenix Contact;PT 2,5;Złączka szynowa 2,5mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 2,5-PE;Złączka szynowa ochronna PE 2,5mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 2,5 BU;Złączka szynowa niebieska (N) 2,5mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 4;Złączka szynowa 4mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 4-HESI (5X20);Złączka bezpiecznikowa 4mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 10;Złączka szynowa 10mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;PT 10-PE;Złączka szynowa ochronna PE 10mm2;szt.;;PLN;APARATURA;
APARATURA;Phoenix Contact;RIF-1-RPT-LDP-24DC/2X21MS;Przekaźnik interfejsowy 24V DC;szt.;;PLN;APARATURA;
APARATURA;Mean Well;NDR-240-24;Zasilacz 24V DC 10A;szt.;;PLN;APARATURA;
APARATURA;Mean Well;NDR-120-24;Zasilacz 24V DC 5A;szt.;;PLN;APARATURA;
APARATURA;Mean Well;DR-RDN20;Moduł redundancji zasilania;szt.;;PLN;APARATURA;
APARATURA;Rittal;SE 5832.600;Obudowa szafy sterowniczej;szt.;;PLN;APARATURA;
KABLE;Bitner;BiT 750®H 4x1;Kabel sterowniczy 4x1mm2;m;;PLN;KABLE;
KABLE;Bitner;BiT 750®H 3G1,5;Kabel sterowniczy 3G1,5mm2;m;;PLN;KABLE;
KABLE;Bitner;BiT 750®CH 2x1;Kabel ekranowany 2x1mm2 (analogi);m;;PLN;KABLE;
KABLE;Bitner;BiTservo®3plus 2XSLCH-J 3G2,5+3G1,5;Kabel silnikowy do falownika;m;;PLN;KABLE;
KABLE;Lapp;ETHERLINE LAN Cat.7 S/FTP;Kabel sieciowy Cat.7;m;;PLN;KABLE;
SCADA;ASKOM;ASIX-WA128W+1R PM;Stacja operatorska, limit 128 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA256W+1R PM;Stacja operatorska, limit 256 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA512W+1R PM;Stacja operatorska, limit 512 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA1024W+1R PM;Stacja operatorska, limit 1024 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA4096W+1R PM;Stacja operatorska, limit 4096 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA8192W+1R PM;Stacja operatorska, limit 8192 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WANLW+1R PM;Stacja operatorska, bez limitu;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA128S+1R PM;Serwer operatorski, limit 128 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA256S+1R PM;Serwer operatorski, limit 256 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA512S+1R PM;Serwer operatorski, limit 512 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA1024S+1R PM;Serwer operatorski, limit 1024 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA4096S+1R PM;Serwer operatorski, limit 4096 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WA8192S+1R PM;Serwer operatorski, limit 8192 zm.;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WANLS+1R PM;Serwer operatorski, bez limitu;szt.;;PLN;ASIX;
SCADA;ASKOM;ASIX-WANLO + 1R PM;Terminal operatorski;szt.;;PLN;ASIX;
SCADA;ASKOM;AsRDSCAL;Rozszerzenie terminala RDS o kolejnego Klienta;szt.;;PLN;ASIX;
SCADA;ASKOM;As4www+1CAL;Terminal WWW z 1 Klientem pełnym;szt.;;PLN;ASIX;
SCADA;ASKOM;As4www1CAL-Lite;Terminal WWW +1 Klient Lite;szt.;;PLN;ASIX;
SCADA;ASKOM;As4www1CAL;Terminal WWW +1 Klient pełny;szt.;;PLN;ASIX;
SZAFA;;Obudowa wisząca 600x600x250;Obudowa rozdzielnicy z płytą montażową;szt.;;PLN;OBUDOWY;
SZAFA;;Szyna montażowa TH35;Szyna montażowa TH35 (DIN);m;;PLN;OBUDOWY;
SZAFA;;Korytko grzebieniowe 40x60;Korytko grzebieniowe (prowadzenie przewodów);m;;PLN;OBUDOWY;
SZAFA;;Przewód LgY 1,0 mm2;Przewód wewnętrzny LgY 1,0 mm2 (obwody sygnałowe);m;;PLN;KABLE;
SZAFA;;Przewód LgY 2,5 mm2;Przewód wewnętrzny LgY 2,5 mm2 (obwody 230V i zasilacza);m;;PLN;KABLE;
SZAFA;;Rozłącznik główny 3P 25A;Rozłącznik główny z napędem drzwiowym;szt.;;PLN;APARATURA;
SZAFA;;Wyłącznik nadprądowy B10 1P+N;Zabezpieczenie obwodu zasilacza 24V DC;szt.;;PLN;APARATURA;
SZAFA;;Wyłącznik nadprądowy B10 1P+N (gniazdo/oświetlenie);Zabezpieczenie gniazda serwisowego i oświetlenia szafy;szt.;;PLN;APARATURA;
SZAFA;;Oświetlenie szafy z wyłącznikiem drzwiowym;Oprawa oświetleniowa szafy z wyłącznikiem drzwiowym;szt.;;PLN;APARATURA;
SZAFA;;Gniazdo serwisowe 230V;Gniazdo serwisowe 230V na szynę TH35;szt.;;PLN;APARATURA;
SZAFA;;Obudowa wisząca 800x1200x300;Obudowa rozdzielnicy z płytą montażową;szt.;;PLN;OBUDOWY;
SZAFA;;Wentylator z filtrem + termostat;Wentylacja wymuszona z termostatem;szt.;;PLN;APARATURA;
SZAFA;;Obudowa stojąca 1000x2000x400;Obudowa rozdzielnicy z płytą montażową;szt.;;PLN;OBUDOWY;
SZAFA;;Obudowa wisząca 600x800x250;Obudowa rozdzielnicy z płytą montażową;szt.;;PLN;OBUDOWY;
SZAFA;;Obudowa wisząca 800x1000x300;Obudowa rozdzielnicy z płytą montażową;szt.;;PLN;OBUDOWY;
SZAFA;;Obudowa stojąca 800x2000x400;Obudowa rozdzielnicy z płytą montażową;szt.;;PLN;OBUDOWY;
PLC;Siemens;6ES7513-1AL02-0AB0;CPU 1513-1 PN;szt.;;PLN;SIEMENS;
PLC;Siemens;6EP1332-4BA00;Zasilacz systemowy PM 1507 24V DC / 3A;szt.;;PLN;SIEMENS;
